LOC,STATEMENTS,PUBATTR,OUTCOMMENTEDBLOCKS,MMCCC,MULTIPLESTATEMENTS,MAXSTMTSSEQ,RLOC,METHODS,NL1+,PUBMETHODS,NL3+,#NOTE,FILENAME,CHARS140+,MNL,NL,INTERNALMETHODS,NL0,FRIENDCLASS,NL1,#HINT,NL3,NL2,OUTCOMMENTEDLOC,NONISOLATEDBRACES,CPPCHECKISSUES,PREPROCESSORDIRECTIVES,#TODO,INCLUDES,#FIXME,MRLOCNAME,CLASSES,MRLOC,#HACK,MMCCCNAME,MNLNAME,COMMENTS,NL2+,MAXOUTCOMMENTEDBLOCK,NL5,NL4,NL5+,NL4+,NL0+,NL6,NL6+,TESTCOVERAGE,NL7,NL7+,NL8,NL8+,NL9+,NL9,FUNCTIONS
21,7,0,0,2,0,3,10,1,7,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/main.cpp",0,2,2,0,0,0,4,0,,3,0,2,,0,0,2,0,"int main",0,12,0,int main,"int main",0,3,0,,,,,,,,,,,,,,,
42,11,0,0,1,0,8,17,3,11,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/itpcodevis.cpp",0,1,1,0,0,0,11,0,,,3,2,,0,0,7,0,"ITPCodeVis::ITPCodeVis",0,10,0,ITPCodeVis::ITPCodeVis,"ITPCodeVis::ITPCodeVis",4,,0,,,,,,,,,,,,,,,
23,8,1,0,1,0,3,12,4,7,4,,0,"/trunk/hpi/apps/itp_cobol_codevis/import/variabledescription.h",0,1,2,0,1,0,4,0,,3,0,5,8,1,0,1,0,"VariableDescription",1,1,0,VariableDescription,"VariableDescription",1,3,0,,,,,,,,,,,,,,,
10,0,0,0,1,0,0,3,1,0,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/import/sourcefile.cpp",0,1,1,0,0,0,0,0,,,0,1,,0,0,1,0,"SourceFile::SourceFile",0,2,0,SourceFile::SourceFile,"SourceFile::SourceFile",1,,0,,,,,,,,,,,,,,,
25,10,1,0,1,0,5,14,4,9,4,,0,"/trunk/hpi/apps/itp_cobol_codevis/import/statementpart.h",1,1,2,0,1,0,6,0,,3,0,5,,1,0,1,0,"StatementPart",1,1,0,StatementPart,"StatementPart",1,3,0,,,,,,,,,,,,,,,
19,4,1,0,1,0,1,8,2,3,2,,0,"/trunk/hpi/apps/itp_cobol_codevis/import/literal.h",0,1,2,0,1,0,2,0,,1,0,3,,1,0,1,0,"Literal",1,1,0,Literal,"Literal",1,1,0,,,,,,,,,,,,,,,
241,100,0,1,8,0,10,152,14,100,0,29,0,"/trunk/hpi/apps/itp_cobol_codevis/import/itpscanimporter.cpp",0,5,5,0,0,0,32,0,22,39,3,50,1,0,0,13,0,"ITPScanImporter::readStatements",0,34,0,ITPScanImporter::readStatements,"ITPScanImporter::processPerform",9,68,3,2,5,2,7,,,,,,,,,,,
10,0,0,0,1,0,0,3,1,0,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/import/statement.cpp",0,1,1,0,0,0,0,0,,,0,1,1,0,0,1,0,"Statement::Statement",0,2,0,Statement::Statement,"Statement::Statement",1,,0,,,,,,,,,,,,,,,
21,6,1,0,1,0,2,10,3,5,3,,0,"/trunk/hpi/apps/itp_cobol_codevis/import/sourcefile.h",0,1,2,0,1,0,3,0,,2,0,4,3,1,0,1,0,"SourceFile",1,1,0,SourceFile,"SourceFile",1,2,0,,,,,,,,,,,,,,,
60,29,0,0,0,0,23,34,0,23,2,,0,"/trunk/hpi/apps/itp_cobol_codevis/import/itpscanimporter.h",0,,1,12,6,0,23,0,,,0,2,,1,0,8,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
15,2,0,0,1,0,2,6,2,2,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/import/sourceline.cpp",0,1,1,0,0,0,2,0,,,0,2,,0,0,1,0,"SourceLine::fileId",0,4,0,SourceLine::SourceLine,"SourceLine::SourceLine",1,,0,,,,,,,,,,,,,,,
61,29,1,0,1,0,8,34,17,27,18,,0,"/trunk/hpi/apps/itp_cobol_codevis/import/statement.h",0,1,2,0,2,0,10,0,,17,0,20,,1,0,4,0,"int id",1,1,0,int id,"int id",1,17,0,,,,,,,,,,,,,,,
10,0,0,0,1,0,0,3,1,0,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/import/variabledescription.cpp",0,1,1,0,0,0,0,0,,,0,1,,0,0,1,0,"VariableDescription::VariableDescription",0,2,0,VariableDescription::VariableDescription,"VariableDescription::VariableDescription",1,,0,,,,,,,,,,,,,,,
10,0,0,0,1,0,0,3,1,0,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/import/statementpart.cpp",1,1,1,0,0,0,0,0,,,0,1,,0,0,1,0,"StatementPart::StatementPart",0,2,0,StatementPart::StatementPart,"StatementPart::StatementPart",1,,0,,,,,,,,,,,,,,,
10,0,0,0,1,0,0,3,1,0,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/import/literal.cpp",0,1,1,0,0,0,0,0,,,0,1,,0,0,1,0,"Literal::Literal",0,2,0,Literal::Literal,"Literal::Literal",1,,0,,,,,,,,,,,,,,,
18,4,0,0,0,0,3,7,0,3,2,,0,"/trunk/hpi/apps/itp_cobol_codevis/import/sourceline.h",0,,1,0,1,0,3,0,,,0,1,,1,0,1,0,0,1,0,0,0,,1,,0,,,,,,,,,,,,,,,
31,6,0,0,2,0,3,13,3,6,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/section.cpp",0,2,2,0,0,0,3,0,,3,0,5,,0,0,4,0,"Section::getOrCreateParagraph",0,9,0,Section::getOrCreateParagraph,"Section::getOrCreateParagraph",2,3,0,,,,,,,,,,,,,,,
20,1,0,0,1,0,1,6,2,1,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/paragraph.cpp",0,1,1,0,0,0,1,0,,,0,3,1,0,0,3,0,"Paragraph::section",0,3,0,Paragraph::Paragraph,"Paragraph::Paragraph",2,,0,,,,,,,,,,,,,,,
60,15,0,0,3,0,3,30,7,15,0,1,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/program.cpp",0,3,3,0,0,0,7,0,1,7,0,13,,0,0,4,0,"Program::getOrCreateSection",0,9,0,Program::paragraph,"Program::paragraph",2,8,0,,,,,,,,,,,,,,,
32,12,0,0,1,0,4,16,3,9,6,,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/section.h",0,1,2,0,3,0,6,0,,3,0,5,,1,0,2,0,"QString name",1,1,0,QString name,"QString name",2,3,0,,,,,,,,,,,,,,,
12,0,0,0,1,0,0,4,1,0,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/job.cpp",0,1,1,0,0,0,0,0,,,0,2,,0,0,1,0,"Job::Job",0,2,0,Job::Job,"Job::Job",2,,0,,,,,,,,,,,,,,,
30,10,0,0,1,0,3,14,3,8,5,,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/paragraph.h",0,1,2,0,2,0,5,0,,3,0,5,,1,0,2,0,"int id",1,1,0,int id,"int id",2,3,0,,,,,,,,,,,,,,,
12,0,0,0,1,0,0,4,1,0,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/entity.cpp",0,1,1,0,0,0,0,0,,,0,2,,0,0,1,0,"Entity::Entity",0,2,0,Entity::Entity,"Entity::Entity",2,,0,,,,,,,,,,,,,,,
43,18,0,0,1,0,6,23,4,14,10,,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/program.h",0,1,2,1,4,0,10,0,,4,0,6,,1,0,1,0,"QString name",1,1,0,QString name,"QString name",2,4,0,,,,,,,,,,,,,,,
15,2,1,0,0,0,1,5,0,1,1,,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/job.h",0,,1,0,1,0,1,0,,,0,2,,1,0,1,0,0,1,0,0,0,,2,,0,,,,,,,,,,,,,,,
23,6,1,0,1,0,1,10,3,5,3,,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/entity.h",0,1,2,0,1,0,2,0,,3,0,5,,1,0,2,0,"Entity",1,1,0,Entity,"Entity",2,3,0,,,,,,,,,,,,,,,
83,24,0,0,4,0,2,44,10,24,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/system.cpp",0,2,2,0,0,0,12,0,,12,0,18,,0,0,5,0,"System::program",0,11,0,System::program,"System::program",2,12,0,,,,,,,,,,,,,,,
12,0,0,0,1,0,0,4,1,0,0,,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/copybook.cpp",0,1,1,0,0,0,0,0,,,0,2,,0,0,1,0,"Copybook::Copybook",0,2,0,Copybook::Copybook,"Copybook::Copybook",2,,0,,,,,,,,,,,,,,,
28,4,0,0,4,0,1,12,3,4,0,1,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/variable.cpp",0,3,3,0,0,0,2,0,1,1,0,6,,0,0,2,0,"Variable::variable",0,9,0,Variable::variable,"Variable::variable",2,2,0,,,,,,,,,,,,,,,
38,18,0,0,0,0,14,22,0,14,10,,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/system.h",0,,1,0,4,0,14,0,,,0,2,,1,0,2,0,0,1,0,0,0,,2,,0,,,,,,,,,,,,,,,
17,3,1,0,1,0,1,6,1,2,2,,0,"/trunk/hpi/apps/itp_cobol_codevis/cobol/copybook.h",0,1,2,0,1,0,1,0,,1,0,3,,1,0,1,0,"QString name",1,1,0,QString name,"QString name",2,1,0,,,,,,,,,,,,,,,
